"linear_acceleration.y_x","linear_acceleration.y_y","linear_acceleration.x_x","linear_acceleration.x_y","linear_acceleration.z_x","linear_acceleration.z_y"
3289.509246,0.12748645,3289.509246,0.196133,3289.509246,9.7870367,
3349.376362,0.10787315,3349.376362,0.196133,3349.376362,9.7870367,
3409.172478,0.10787315,3409.172478,0.20593965,3409.172478,9.79684335,
3468.921174,0.1176798,3468.921174,0.196133,3468.921174,9.7870367,
3528.778463,0.10787315,3528.778463,0.196133,3528.778463,9.79684335,
3588.656805,0.1176798,3588.656805,0.22555295,3588.656805,9.7870367,
3648.512936,0.1176798,3648.512936,0.2157463,3648.512936,9.80665,
3708.331419,0.1372931,3708.331419,0.196133,3708.331419,9.80665,
3768.195061,0.1176798,3768.195061,0.2157463,3768.195061,9.79684335,
3827.890007,0.14709975,3827.890007,0.2157463,3827.890007,9.79684335,
3887.665139,0.1569064,3887.665139,0.2157463,3887.665139,9.80665,
3947.422265,0.12748645,3947.422265,0.20593965,3947.422265,9.79684335,
4007.240678,0.12748645,4007.240678,0.20593965,4007.240678,9.7870367,
4066.965183,0.0980665,4066.965183,0.20593965,4066.965183,9.81645665,
4126.703601,0.0980665,4126.703601,0.196133,4126.703601,9.79684335,
4186.531377,0.10787315,4186.531377,0.2157463,4186.531377,9.7870367,
4246.271065,0.1176798,4246.271065,0.20593965,4246.271065,9.79684335,
4306.14814,0.14709975,4306.14814,0.24516625,4306.14814,9.80665,
4365.985037,0.1372931,4365.985037,0.2157463,4365.985037,9.7870367,
4425.821346,0.1372931,4425.821346,0.2157463,4425.821346,9.77723005,
4485.539534,0.1569064,4485.539534,0.24516625,4485.539534,9.79684335,
4545.398457,0.1372931,4545.398457,0.22555295,4545.398457,9.79684335,
4605.26342,0.10787315,4605.26342,0.22555295,4605.26342,9.79684335,
4665.092932,0.10787315,4665.092932,0.24516625,4665.092932,9.80665,
4724.949093,0.10787315,4724.949093,0.22555295,4724.949093,9.7870367,
4784.766665,0.10787315,4784.766665,0.20593965,4784.766665,9.80665,
4844.463634,0.1372931,4844.463634,0.2157463,4844.463634,9.80665,
4904.281133,0.1372931,4904.281133,0.22555295,4904.281133,9.79684335,
4964.176309,0.1176798,4964.176309,0.22555295,4964.176309,9.80665,
5023.976375,0.14709975,5023.976375,0.2157463,5023.976375,9.80665,
5083.833597,0.1372931,5083.833597,0.2157463,5083.833597,9.81645665,
5143.690656,0.12748645,5143.690656,0.22555295,5143.690656,9.80665,
5203.388166,0.14709975,5203.388166,0.2157463,5203.388166,9.81645665,
5263.228232,0.12748645,5263.228232,0.20593965,5263.228232,9.7870367,
5323.043528,0.1372931,5323.043528,0.2157463,5323.043528,9.80665,
5382.761257,0.08825985,5382.761257,0.2353596,5382.761257,9.83606995,
5442.540095,0.1569064,5442.540095,0.2157463,5442.540095,9.7870367,
5502.213819,0.12748645,5502.213819,0.2353596,5502.213819,9.80665,
5561.992251,0.1372931,5561.992251,0.22555295,5561.992251,9.80665,
5621.670262,0.1372931,5621.670262,0.22555295,5621.670262,9.7870367,
5681.465641,0.10787315,5681.465641,0.22555295,5681.465641,9.79684335,
5741.200844,0.12748645,5741.200844,0.2157463,5741.200844,9.7870367,
5801.120721,0.1176798,5801.120721,0.22555295,5801.120721,9.79684335,
5860.817964,0.02941995,5860.817964,0.2157463,5860.817964,9.80665,
5920.545576,0.1372931,5920.545576,0.2353596,5920.545576,9.79684335,
5980.343076,0.1176798,5980.343076,0.20593965,5980.343076,9.81645665,
6040.151804,0.10787315,6040.151804,0.22555295,6040.151804,9.79684335,
6100.049552,0.16671305,6100.049552,0.20593965,6100.049552,9.7870367,
6159.907673,0.1372931,6159.907673,0.22555295,6159.907673,9.7870367,
6219.663398,0.14709975,6219.663398,0.22555295,6219.663398,9.80665,
6279.480443,0.1176798,6279.480443,0.22555295,6279.480443,9.79684335,
6339.314091,0.14709975,6339.314091,0.22555295,6339.314091,9.80665,
6399.100236,0.1372931,6399.100236,0.20593965,6399.100236,9.7870367,
6458.99388,0.12748645,6458.99388,0.22555295,6458.99388,9.77723005,
6518.698825,0.1176798,6518.698825,0.22555295,6518.698825,9.7870367,
6578.469021,0.1372931,6578.469021,0.22555295,6578.469021,9.7870367,
6638.3139,0.14709975,6638.3139,0.2353596,6638.3139,9.79684335,
6698.184281,0.06864655,6698.184281,0.2353596,6698.184281,9.80665,
6757.923908,0.1372931,6757.923908,0.22555295,6757.923908,9.79684335,
6817.717726,0.1372931,6817.717726,0.2353596,6817.717726,9.80665,
6877.591318,0.1372931,6877.591318,0.2157463,6877.591318,9.79684335,
6937.353444,0.1176798,6937.353444,0.2157463,6937.353444,9.81645665,
6997.109622,0.1569064,6997.109622,0.24516625,6997.109622,9.79684335,
7056.97352,0.12748645,7056.97352,0.2157463,7056.97352,9.79684335,
7116.850319,0.1569064,7116.850319,0.2353596,7116.850319,9.80665,
7176.700577,0.14709975,7176.700577,0.22555295,7176.700577,9.80665,
7236.519586,0.1372931,7236.519586,0.18632635,7236.519586,9.79684335,
7296.421192,0.14709975,7296.421192,0.196133,7296.421192,9.7870367,
7356.14222,0.12748645,7356.14222,0.196133,7356.14222,9.7870367,
7415.871707,0.196133,7415.871707,0.1765197,7415.871707,9.79684335,
